0,1,2,3,4,5,6,7,8
1911,30 sep/  1 okt,11,30,108,38.0,137.0,Hoek van Holland,
1912,27 aug,10,27,97,41.0,148.0,Hoek van Holland,
1913,26/27 dec,10,28,101,,,Vlissingen,
1914,12 aug,10,26,94,,,Den Helder,
1914,11 nov,10,26,94,,,Vlissingen,
1914,28/29 dec,11,32,115,42.0,151.0,Vlissingen/Hoek van Holland,
1916,13 jan,10,27,97,42.0,151.0,Hoek van Holland,
1916,23 dec,10,27,97,,,Vlissingen,
1920,11 jan,10,28,101,,,Vlissingen,
1921,6 nov,11,32,115,45.0,162.0,Hoek van Holland,
1922,8 mrt,10,27,97,,,Vlissingen,
1925,9/10 feb,10,26,94,39.0,140.0,Vlissingen,
1928,16/17 nov,10,26,94,38.0,137.0,Den Helder,
1928,23 nov,10,25,90,38.0,137.0,Vlissingen,
1928,25 nov,10,28,101,37.0,133.0,Vlissingen,
1938,3/4 okt,10,27,97,38.0,137.0,Vlissingen,
1940,13/14 nov,10,26,94,38.0,137.0,Vlissingen,
1943,7 apr,10,28,101,35.0,126.0,Den Helder,
1943,19 dec,10,26,94,,,Vlissingen,
1944,23 jan,10,26,94,,,Vlissingen,
1944,7 sep,12,35,122,,,Vlissingen,
1949,1 mrt,11,29,104,39.0,140.0,Den Helder,
1953,31 jan/  1 feb,11,29,104,40.0,144.0,Leeuwarden/Den Helder,
1953,30 mrt,10,28,90,,,Schiphol,
1954,21 dec,10,27,101,,,Leeuwarden,
1960,20 jan,10,27,97,41.0,148.0,Den Helder,
1962,12 feb,10,25,90,,,Schiphol,
1967,17 okt,10,27,97,40.0,144.0,IJmuiden,
1971,21 nov,10,25,90,,,Terschelling,
1972,13 nov,11,31,112,42.0,151.0,IJmuiden/Terschelling,
1973,2 apr,11,31,112,43.0,155.0,Terschelling/IJmuiden,
1973,13 dec,10,26,94,,,Terschelling,
1974,16/17 jan,10,25,90,32.0,144.0,Vlissingen/Terschelling,
1976,2/3 jan,11,32,114,40.0,144.0,IJmuiden/Vlissingen,
1977,12 nov,10,26,94,34.0,122.0,IJmuiden/De Kooy,
1977,14 nov,10,25,90,32.0,114.0,IJmuiden/Hoek van Holland,
1977,24 dec,10,26,94,37.0,133.0,Houtrib,
1978,3 jan,10,26,94,37.0,133.0,IJmuiden,
1978,16 mrt,11,29,104,33.0,119.0,Houtrib,
1983,1 feb,10,27,97,39.0,140.0,IJmuiden/Terschelling,
1983,27 nov,10,28,101,40.0,144.0,Vlissingen,
1984,13/14 jan,10,26,94,38.0,137.0,IJmuiden/Terschelling,
1986,19 dec,10,25,90,32.0,114.0,IJmuiden,
1987,16 okt,10,27,97,39.0,140.0,IJmuiden,
1990,25 jan,11,30,108,44.0,158.0,IJmuiden/Schiphol,
1990,26 feb,10,26,94,40.0,144.0,IJmuiden/Vlissingen,
1993,13 jan,10,26,94,38.0,137.0,IJmuiden/Terschelling,
1993,8/9 dec,10,25,90,35.0,126.0,Vlissingen,
1994,1 apr,10,25,90,35.0,126.0,IJmuiden,
1995,3 mrt,10,25,90,31.0,112.0,IJmuiden,
1998,4 jan,10,26,94,35.0,126.0,IJmuiden,
1999,3 dec,10,25,90,33.0,119.0,Vlieland,
2000,28 mei,10,29,90,35.0,126.0,IJmuiden/Vlieland,
2000,29 okt,10,26,94,35.0,126.0,IJmuiden/Vlieland,
2002,26 feb,10,25,90,34.0,122.0,Vlieland/Vlissingen,
2002,9 mrt,10,25,90,33.0,119.0,IJmuiden,
2002,27 okt,10,28,101,41.0,148.0,IJmuiden/Vlissingen,
2007,18 jan,10,25,90,35.0,126.0,IJmuiden/Vlissingen,
2013,28 okt,11,29,104,42.0,151.0,Vlieland,
2013,5 dec,10,25,90,36.0,137.0,Vlieland,
2015,25 jul,10,25,90,34.0,122.0,IJmuiden,
2016,20 nov,10,26,94,37.0,133.0,IJmuiden,
2017,13 sep,10,26,94,35.0,126.0,Vlieland,
2018,3 jan,10,26,94,34.0,122.0,Vlieland,
2018,18 jan,11,30,108,40.0,144.0,Hoek van Holland,
2020,9 feb,10,25,90,36.0,130.0,Vlieland,Ciara
