Id;Gender;Leeftijd;Karakter;Apparaat;Huis;Plek;"Rugzak [A: In kijken (-1); Laten liggen (0); Melding maken (1)]";"Koffer [A: In kijken (-1); Laten liggen (0); Melding maken (1)]";"Envelop [A: In kijken (-1); Laten liggen (0); Melding maken (1)]";Rugzak Uitslag;Koffer Uitslag;Envelop Uitslag;Uitslag;Wachtwoord;Tweefactorauthenticatie;Password_manager;Webcamcover;Virus_scanner;"Veiligheidsbewust [0: Nee; 1:Ja]";;;;;
1;v;19;b;a;b;b;b;c;a;0;1;-1;0;0;1;0;0;1;0;;;;;
2;v;22;a;a;b;a;a;a;a;-1;-1;-1;-3;0;1;0;1;1;0;;;;;
3;v;20;a;a;a;a;a;a;a;-1;-1;-1;-3;0;1;0;0;1;0;;;;;
4;m;24;b;a;b;b;b;c;b;0;1;0;1;1;1;1;1;1;1;;;;;
5;v;19;b;a;b;b;b;b;b;0;0;0;0;0;1;0;1;1;1;;;;;
6;v;52;b;a;b;a;a;c;b;-1;1;0;0;0;1;0;1;1;1;;;;;
7;m;36;a;b;b;b;c;c;a;1;1;-1;1;0;0;0;1;1;1;;;;;
8;m;27;b;a;b;b;c;b;a;1;0;-1;0;0;1;0;1;1;1;;;;;
9;m;26;b;a;b;b;c;c;a;1;1;-1;1;0;1;0;1;1;1;;;;;
10;m;34;a;a;b;a;b;a;a;0;-1;-1;-2;0;1;0;1;1;0;;;;;
11;v;21;a;b;b;b;b;c;b;0;1;0;1;0;0;0;1;1;1;;;;;
12;m;22;a;a;b;a;a;c;a;-1;1;-1;-1;0;1;0;1;1;0;;;;;
13;v;29;b;a;a;b;b;a;a;0;-1;-1;-2;1;1;0;0;0;0;;;;;
14;v;16;a;b;b;b;c;a;a;1;-1;-1;-1;0;0;0;1;1;0;;;;;
15;v;67;b;a;b;a;a;c;a;-1;1;-1;-1;1;0;1;0;1;0;;;;;
16;m;72;b;a;b;b;b;b;a;0;0;-1;-1;1;0;0;0;1;0;;;;;
17;v;23;b;a;b;b;c;c;a;1;1;-1;1;0;1;0;0;1;1;;;;;
18;v;29;a;b;a;a;a;a;a;-1;-1;-1;-3;0;0;1;1;1;0;;;;;
19;m;34;b;a;b;b;c;c;a;1;1;-1;1;0;1;0;0;0;0;;;;;
20;m;77;b;a;b;b;c;c;a;1;1;-1;1;1;1;1;1;0;1;;;;;
21;v;66;a;a;a;b;c;c;a;1;1;-1;1;0;1;0;1;0;1;;;;;
22;v;45;a;a;b;a;a;b;a;-1;0;-1;-2;0;1;0;1;0;0;;;;;
23;v;53;a;a;b;b;b;c;a;0;1;-1;0;0;1;0;1;1;1;;;;;
24;v;59;a;a;b;a;c;c;b;1;1;0;2;0;0;0;1;1;1;;;;;
25;m;23;b;a;b;a;c;c;a;1;1;-1;1;1;0;1;1;1;1;;;;;
26;m;20;a;a;b;a;a;c;a;-1;1;-1;-1;0;1;0;0;1;0;;;;;
28;m;22;a;a;b;b;b;c;c;0;1;1;2;1;0;0;0;0;1;;;;;
29;v;24;b;a;a;b;b;c;c;0;1;1;2;0;1;0;1;1;1;;;;;
30;v;22;b;a;b;b;c;c;a;1;1;-1;1;1;1;1;0;1;1;;;;;
31;m;24;b;a;b;b;c;c;a;1;1;-1;1;1;0;0;1;1;1;;;;;
32;v;42;a;a;b;b;b;c;a;0;1;-1;0;0;1;0;1;1;1;;;;;
33;v;37;b;a;b;a;a;c;a;-1;1;-1;-1;0;1;0;1;1;0;;;;;
34;v;51;a;a;b;a;b;c;a;0;1;-1;0;0;1;0;1;1;1;;;;;
35;v;51;a;a;b;b;c;c;a;1;1;-1;1;0;1;0;1;1;1;;;;;
36;m;23;a;a;b;a;c;b;b;1;0;0;1;0;1;0;1;1;1;;;;;
37;m;22;b;a;b;a;b;b;a;0;0;-1;-1;0;0;0;1;1;0;;;;;
38;v;25;b;b;b;a;a;c;a;-1;1;-1;-1;0;0;1;0;1;0;;;;;
39;v;20;b;a;b;a;b;c;a;0;1;-1;0;0;0;1;0;1;0;;;;;
40;v;19;a;a;a;a;a;b;b;-1;0;0;-1;1;0;1;0;0;0;;;;;
41;m;56;b;a;b;b;b;c;c;0;1;1;2;1;0;0;1;0;1;;;;;
42;m;45;a;a;a;a;c;c;a;1;1;-1;1;0;0;0;1;0;0;;;;;
43;m;31;b;a;b;b;b;c;c;0;1;1;2;0;1;0;1;0;1;;;;;
44;v;38;b;a;b;b;c;c;c;1;1;1;3;0;1;1;0;1;1;;;;;
45;m;55;b;b;b;b;c;c;b;1;1;0;2;0;0;1;0;0;1;;;;;
46;v;21;b;a;b;a;c;a;c;1;-1;1;1;1;0;0;0;0;0;;;;;
47;m;20;a;b;b;b;b;c;c;0;1;1;2;0;1;0;1;1;1;;;;;
48;m;23;a;a;b;a;c;c;c;1;1;1;3;0;0;0;1;0;1;;;;;
49;v;19;a;a;b;a;b;c;c;0;1;1;2;0;0;0;1;1;1;;;;;
50;v;24;b;a;b;b;c;c;a;1;1;-1;1;0;1;0;1;0;1;;;;;
51;m;25;b;a;a;a;a;b;a;-1;0;-1;-2;1;1;0;1;0;0;;;;;
52;m;53;a;a;b;b;b;c;c;0;1;1;2;1;1;1;0;1;1;;;;;
53;m;56;b;a;b;b;c;c;c;1;1;1;3;0;0;0;0;1;1;;;;;
54;v;71;a;a;b;b;c;c;a;1;1;-1;1;0;1;0;0;1;1;;;;;
55;m;67;b;a;a;b;b;c;c;0;1;1;2;0;0;0;0;1;1;;;;;
56;v;78;a;b;b;a;c;a;a;1;-1;-1;-1;1;0;0;1;0;0;;;;;
57;m;45;a;a;b;b;c;a;a;1;-1;-1;-1;0;1;0;1;0;0;;;;;
58;v;16;a;a;b;a;c;a;c;1;-1;1;1;0;0;1;1;1;1;;;;;
59;v;21;a;a;b;b;c;c;a;1;1;-1;1;1;1;1;1;1;1;;;;;
60;v;30;b;a;b;a;a;c;b;-1;1;0;0;1;0;0;1;1;1;;;;;
61;m;24;a;a;a;b;b;c;a;0;1;-1;0;0;1;1;1;1;1;;;;;
62;m;21;b;b;b;a;c;b;a;1;0;-1;0;0;0;0;1;1;0;;;;;
63;m;23;a;b;b;b;c;c;a;1;1;-1;1;0;1;0;0;1;1;;;;;
